Simulation,Sensitivity,Specificity,Disease probability,MVD given disease,SVD given disease,QALY_NT,Cost_NT,QALY_EST,Cost_EST,QALY_ANG,Cost_ANG
825,0.82757334,0.912358521,0.526708713,0.697423356,0.302576644,8.180453865,826.5862891,5.73590766,4474.521879,9.418062399,2730.278166
826,0.88513895,0.947572004,0.51389814,0.754667442,0.245332558,8.141776013,823.5747682,5.126518126,4519.140828,9.793034164,2649.713668
827,0.88228854,0.90780954,0.6555512,0.725200063,0.274799937,7.32019105,733.5993885,5.373044296,5092.842923,9.224032711,3215.927957
828,0.869515622,0.879221155,0.571783746,0.710069476,0.289930524,7.876071703,793.7174519,5.195846768,4713.067825,9.359982517,2899.291433
829,0.779726731,0.906964156,0.597983227,0.721570225,0.278429775,7.687196723,773.4329786,6.385182224,4638.407069,9.360458285,2994.422272
830,0.89663009,0.913397019,0.569499836,0.691664501,0.308335499,7.931843518,799.3644577,5.103319893,4788.305671,9.247386481,2901.212611
831,0.863328077,0.943279285,0.580436454,0.702796402,0.297203598,7.839519192,789.5666957,5.676848662,4775.865689,9.286187783,2937.420574
832,0.862126779,0.896155043,0.661238128,0.663084458,0.336915542,7.448160569,745.8697699,5.798754989,5103.512551,8.740300945,3280.484373
833,0.869818801,0.937231336,0.59224569,0.740207878,0.259792122,7.678926435,772.9774838,5.480384216,4812.298208,9.502476951,2960.691793
834,0.853901463,0.926921093,0.649046683,0.695262015,0.304737985,7.43797198,745.6306064,5.927068455,5030.524544,9.020924633,3210.730859
835,0.826627259,0.943912745,0.631705442,0.640172211,0.359827789,7.682281347,770.8285082,6.519552718,4942.639066,8.679011973,3178.763781
836,0.853928715,0.917289798,0.508879118,0.745708472,0.254291528,8.191742593,828.8208246,5.279657763,4429.759782,9.753473084,2635.071314
837,0.866754574,0.895126239,0.635339228,0.686790069,0.313209931,7.543080835,756.8640688,5.575397867,4991.485024,9.00266358,3162.593382
838,0.810070213,0.794717879,0.552861094,0.738119536,0.261880464,7.931046744,800.3315728,5.213392449,4455.886466,9.592842443,2809.420144
839,0.824443981,0.94014629,0.500207571,0.711485953,0.288514047,8.314521635,841.4814444,5.793802988,4372.331554,9.580748018,2619.244919
840,0.775498795,0.880180224,0.560586073,0.76241604,0.23758396,7.82838455,789.715539,5.942520458,4451.423587,9.727486194,2825.263777
841,0.862110563,0.825056607,0.606992031,0.648555842,0.351444158,7.807527952,784.7408485,5.310640795,4848.664906,8.830084871,3075.278599
842,0.852457915,0.963838823,0.658869544,0.704221206,0.295778794,7.354513061,736.7776663,6.154551361,5081.832993,9.05731124,3243.112041
843,0.840574688,0.901103422,0.588092522,0.684748424,0.315251576,7.834758419,788.6157299,5.787518744,4746.520406,9.141913631,2978.325117
844,0.718105733,0.898620444,0.558013761,0.648312184,0.351687816,8.098036752,816.4860042,7.094846506,4399.99155,9.008395251,2881.175491
845,0.84931032,0.948155371,0.544884996,0.63385533,0.36614467,8.207083417,828.0716723,5.982366951,4643.370601,8.966922851,2837.246585
846,0.862033068,0.92883707,0.660561653,0.774744551,0.225255449,7.158825137,717.361184,5.592937886,5045.071863,9.582760838,3201.575405
847,0.873475683,0.89901325,0.578495484,0.619528561,0.380471439,8.043029228,809.7706909,5.55073668,4812.336305,8.743472461,2979.620009
848,0.85701115,0.953346045,0.482412439,0.691998213,0.308001787,8.461722837,857.1254134,5.54501632,4374.795913,9.526264608,2559.545374
849,0.84367413,0.920098531,0.531684523,0.697722947,0.302277053,8.149394633,823.2086917,5.627529709,4528.926407,9.404373852,2749.595839
850,0.869958602,0.925425519,0.579301283,0.718902856,0.281097144,7.809371979,786.663168,5.441659617,4765.566172,9.395926802,2923.338275
851,0.861822761,0.942688511,0.602085464,0.703349656,0.296650344,7.705354066,774.9668885,5.752315618,4860.550234,9.223856279,3021.720698
852,0.786218258,0.922009934,0.668430721,0.786439359,0.213560641,7.077194523,708.8114529,6.391405238,4885.701815,9.654209155,3223.677324
853,0.886957471,0.840607109,0.565658533,0.740163883,0.259836117,7.846122843,791.1471197,4.687734545,4684.305383,9.572073285,2857.793749
854,0.827304815,0.896735325,0.612841134,0.69308085,0.30691915,7.664364147,770.2460864,5.973098914,4809.729815,9.119394348,3070.272191
855,0.856512127,0.886297006,0.665214461,0.760328777,0.239671223,7.167086853,717.8840079,5.489221108,5036.522884,9.463139269,3229.332932
856,0.801756631,0.940489083,0.594676901,0.668713411,0.331286589,7.83275755,788.0044617,6.551847583,4722.18518,9.011840115,3014.047895
857,0.851024377,0.93014354,0.623907193,0.747239581,0.252760419,7.462487149,749.6297278,5.725373904,4891.416196,9.469228336,3078.724771
858,0.755296417,0.902256665,0.579658357,0.684203198,0.315796802,7.887162798,794.3169847,6.690758286,4537.319159,9.165809313,2945.518112
859,0.838642113,0.864079964,0.630685585,0.713087406,0.286912594,7.505370226,753.4353334,5.648432282,4875.291386,9.206628825,3127.178801
860,0.857724746,0.937652186,0.584161419,0.760038859,0.239961141,7.683657008,773.9523819,5.535971352,4742.927933,9.655669282,2917.422423
861,0.824578322,0.894060079,0.632746819,0.712592044,0.287407956,7.493884668,752.1724113,5.98479755,4868.947068,9.197004541,3135.539965
862,0.907361333,0.846402092,0.592979695,0.73133778,0.26866222,7.69523449,774.5406013,4.566975989,4848.842455,9.4406402,2968.969755
863,0.796983871,0.881602181,0.592066835,0.665186559,0.334813441,7.856725001,790.5335687,6.261372467,4671.026989,8.997042361,3005.909257
864,0.857513744,0.891696304,0.625255743,0.762396614,0.237603386,7.416278372,744.9851725,5.387123453,4880.250361,9.573732583,3074.140054
865,0.828173383,0.866647181,0.480923531,0.677726503,0.322273497,8.498095448,860.8081749,5.354379175,4277.629883,9.452820964,2560.801528
866,0.837762514,0.892624863,0.519089049,0.656710684,0.343289316,8.311106022,839.9577033,5.62009018,4473.06457,9.201097671,2722.287575
867,0.767900884,0.925031071,0.628360595,0.718136017,0.281863983,7.507113479,753.7534793,6.759385803,4738.888309,9.249590018,3114.834241
868,0.847899416,0.874360115,0.625326748,0.696805901,0.303194099,7.578968593,761.0346896,5.634595765,4890.370783,9.106407163,3116.80684
869,0.93465773,0.926363984,0.57532629,0.698848841,0.301151159,7.87990921,793.8734825,4.676932019,4893.884356,9.275928831,2919.788023
870,0.865539074,0.962281624,0.609159554,0.694735453,0.305264547,7.682803303,772.2970154,5.868498292,4913.715341,9.142526792,3054.799006
871,0.872973167,0.858093308,0.605903823,0.570503488,0.429496512,8.002078877,804.0071787,5.579867958,4933.539388,8.295435593,3119.843858
872,0.886676215,0.906752167,0.659646359,0.787519708,0.212480292,7.131184027,714.6911347,5.128455704,5078.145029,9.680788682,3189.354615
873,0.808788333,0.893277634,0.628249488,0.750941243,0.249058757,7.425824726,745.7390339,5.989862331,4791.729423,9.4846507,3093.099337
874,0.862132603,0.91809367,0.617666987,0.716281264,0.283718736,7.577939625,761.4145662,5.610972534,4903.151526,9.267336327,3074.377471
875,0.751169541,0.920760708,0.542076231,0.722054759,0.277945241,8.033376914,811.1071557,6.511523674,4379.766431,9.522259598,2776.64757
876,0.863147117,0.932835557,0.519475535,0.654829398,0.345170602,8.312692574,840.0899708,5.579067025,4545.183989,9.188583334,2724.8272
877,0.858446349,0.853876202,0.609537785,0.699206727,0.300793273,7.669654046,770.9756986,5.341293655,4836.521048,9.172378459,3053.464016
878,0.823431068,0.905847907,0.548598685,0.620556469,0.379443531,8.214333614,828.5537047,6.094280113,4591.413837,8.869567114,2859.572022
879,0.894937215,0.909671896,0.66296073,0.675854884,0.324145116,7.404187327,741.4223041,5.378106203,5187.293584,8.830688952,3278.539482
880,0.890409048,0.925449948,0.55866413,0.773938599,0.226061401,7.815028924,788.5184234,4.995702934,4690.67158,9.805369948,2811.214199
881,0.852394646,0.891775959,0.59549198,0.709377856,0.290622144,7.731548274,777.9660842,5.537435931,4781.575987,9.284840304,2992.234583
882,0.871535038,0.924501415,0.566788166,0.671223951,0.328776049,7.994444535,805.7122414,5.526665683,4744.005691,9.124057678,2902.553857
883,0.872851786,0.921343933,0.613030153,0.72883436,0.27116564,7.576031202,761.5176699,5.445075388,4901.738283,9.368435862,3048.358812
884,0.915622978,0.880578467,0.61301058,0.70634028,0.29365972,7.631000553,766.9431772,4.742605631,4985.980532,9.211435674,3062.535162
885,0.838031308,0.947969179,0.559861133,0.717382324,0.282617676,7.933289886,800.112972,5.88442988,4635.783231,9.442043294,2848.533682
886,0.859359548,0.949744377,0.578871796,0.636748928,0.363251072,8.001194782,805.6188916,5.969377924,4803.083407,8.855503315,2970.820449
887,0.76844345,0.90631429,0.552807263,0.64504061,0.35495939,8.136049585,820.5642692,6.624324103,4486.604778,9.006930218,2862.394961
888,0.856360888,0.892199531,0.637276915,0.686537558,0.313462442,7.531954461,755.6443552,5.699198232,4974.387616,8.994558959,3170.367832
889,0.878870551,0.93174388,0.660979175,0.694393455,0.305606545,7.367394315,737.9161757,5.659793883,5141.085199,8.976914782,3258.071449
890,0.857415487,0.934656692,0.513020646,0.712219833,0.287780167,8.233959106,832.7263808,5.461550477,4479.598201,9.547167625,2668.837923
891,0.859671661,0.909648661,0.643670957,0.744512203,0.255487797,7.344704015,736.7649533,5.572865788,4980.577821,9.398870484,3156.904798
892,0.846376514,0.908539138,0.599854645,0.649812359,0.350187641,7.846785691,789.0633141,5.920587442,4831.324531,8.864879669,3046.193287
893,0.874115791,0.883445799,0.652821223,0.788730302,0.211269698,7.172220187,719.169467,5.135339986,5007.393585,9.70405085,3162.450166
894,0.864318354,0.907482735,0.570600069,0.640082816,0.359917184,8.042211146,810.1861882,5.626606853,4753.392011,8.908658148,2935.948312
895,0.849719946,0.920089641,0.715467087,0.702447696,0.297552304,7.011952046,699.4172224,6.115406965,5280.94751,8.870903923,3465.628217
896,0.876268353,0.905885684,0.637334444,0.735015735,0.264984265,7.408710785,743.4792743,5.362346059,4996.506271,9.346278797,3138.658941
897,0.84182664,0.914631412,0.623774878,0.702567354,0.297432646,7.574159212,760.6576429,5.903749878,4889.557846,9.152186092,3107.015067
898,0.788060135,0.885652565,0.553373634,0.655460534,0.344539466,8.109769256,817.9353772,6.255093667,4510.346912,9.070502127,2858.683374
899,0.916568915,0.85070775,0.590080244,0.604689067,0.395310933,8.010610678,805.8435882,4.774732611,4934.011772,8.597366562,3034.962415
900,0.891876555,0.871571741,0.659497012,0.698455108,0.301544892,7.365784931,737.8505179,5.146812041,5129.126489,9.012092874,3249.494901
901,0.813164709,0.922547119,0.557729223,0.705607591,0.294392409,7.972616334,804.1276252,6.034192538,4570.231845,9.373403286,2847.018108
902,0.832240166,0.910218381,0.544703509,0.714137856,0.285862144,8.034207215,811.0239648,5.681433233,4544.775017,9.465694382,2791.324779
903,0.867460003,0.940264975,0.510578593,0.701464313,0.298535687,8.270878294,836.5229824,5.411682578,4496.556115,9.491817497,2664.989668
904,0.845865708,0.910824151,0.582427822,0.722765933,0.277234067,7.781037568,783.6706771,5.632442936,4718.083029,9.412577019,2933.184979
905,0.871227128,0.905961456,0.597631743,0.74097836,0.25902164,7.643244138,769.1179069,5.299683616,4819.295438,9.493565201,2981.06626
906,0.802784188,0.884711127,0.640673921,0.701601652,0.298398348,7.472941563,749.6075674,6.255914891,4852.245624,9.093478153,3173.731309
907,0.836460358,0.940571528,0.524017167,0.680243867,0.319756133,8.232719409,831.9129221,5.859838981,4505.138673,9.323913996,2729.044455
908,0.826971938,0.884981488,0.676442832,0.636780009,0.363219991,7.428039707,742.9286687,6.357502675,5092.75393,8.484319368,3358.947835
909,0.920370022,0.879197279,0.652883656,0.682456153,0.317543847,7.447798437,746.359111,4.810475495,5182.460368,8.913649062,3234.404355
910,0.848563534,0.892208271,0.523601788,0.653653375,0.346346625,8.290610054,837.6515737,5.525227167,4512.880629,9.16671224,2741.801265
911,0.770746929,0.93830747,0.679704989,0.646395824,0.353604176,7.382882324,738.2675935,7.350329235,4992.672665,8.546344789,3365.169485
912,0.848422368,0.9304836,0.622531724,0.716511624,0.283488376,7.547257845,758.0811961,5.861123768,4899.402982,9.254857836,3093.181842
913,0.815146963,0.885372946,0.671561997,0.686984458,0.313015542,7.322601753,732.830999,6.288202028,5011.619918,8.886906662,3304.683387
914,0.861916584,0.867372072,0.527617725,0.64985129,0.35014871,8.274732119,835.8323672,5.262451637,4542.575102,9.129349668,2759.780411
915,0.781657264,0.952731996,0.589544724,0.734923399,0.265076601,7.708293597,776.0451375,6.560141123,4628.481903,9.474092007,2953.455959
916,0.845039815,0.877591037,0.643689075,0.701918894,0.298081106,7.453642411,747.5136603,5.727283221,4956.576055,9.086553381,3185.312769
917,0.866416762,0.898746722,0.602916898,0.6926697,0.3073303,7.725862591,776.9383777,5.485207579,4855.671662,9.147982082,3031.626455
918,0.782122016,0.866949856,0.562538784,0.671955726,0.328044274,8.018348083,808.338073,6.182402112,4514.336787,9.143253824,2885.375252
919,0.899717504,0.900846547,0.587778706,0.690306191,0.309693809,7.823667802,787.5410509,5.04371252,4865.713652,9.180143909,2973.715805
920,0.875229668,0.905680289,0.657968189,0.652678654,0.347321346,7.494941904,750.6915828,5.694449555,5132.98287,8.673785877,3274.641879
921,0.813200273,0.915779115,0.626894771,0.667941891,0.332058109,7.641357448,767.0925602,6.396482925,4860.274374,8.895417113,3141.649877
922,0.851000742,0.868056504,0.550043826,0.713169081,0.286830919,8.003317187,807.640155,5.264526738,4579.626202,9.444003346,2812.692797
